([2, 5, 11, 11, 83], [1, 1, 1, None, -2])
([2, 5, 11, 11, 79], [1, 1, 1, None, -3])
([2, 5, 11, 11, 73], [1, 1, 1, None, -4])
([2, 5, 11, 11, 71], [1, 1, 1, None, -5])
([2, 5, 11, 11, 67], [1, 1, 1, None, -6])
([2, 5, 11, 11, 61], [1, 1, 1, None, -7])
([2, 5, 11, 11, 59], [1, 1, 1, None, -8])
([2, 5, 11, 59, 647], [1, 1, 1, 1, -1])
([2, 5, 11, 59, 643], [1, 1, 1, 1, -2])
([2, 5, 11, 59, 641], [1, 1, 1, 1, -3])
([2, 5, 11, 59, 631], [1, 1, 1, 1, -4])
([2, 5, 11, 59, 619], [1, 1, 1, 1, -5])
([2, 5, 11, 59, 617], [1, 1, 1, 1, -6])
([2, 5, 11, 59, 613], [1, 1, 1, 1, -7])
([2, 5, 11, 59, 607], [1, 1, 1, 1, -8])
([2, 5, 11, 59, 601], [1, 1, 1, 1, -9])
([2, 5, 11, 59, 599], [1, 1, 1, 1, -10])
([2, 5, 11, 59, 593], [1, 1, 1, 1, -11])
([2, 5, 11, 59, 587], [1, 1, 1, 1, -12])
([2, 5, 11, 59, 577], [1, 1, 1, 1, -13])
([2, 5, 11, 59, 571], [1, 1, 1, 1, -14])
([2, 5, 11, 59, 569], [1, 1, 1, 1, -15])
([2, 5, 11, 59, 563], [1, 1, 1, 1, -16])
([2, 5, 11, 59, 557], [1, 1, 1, 1, -17])
([2, 5, 11, 59, 547], [1, 1, 1, 1, -18])
([2, 5, 11, 59, 541], [1, 1, 1, 1, -19])
([2, 5, 11, 59, 523], [1, 1, 1, 1, -20])
([2, 5, 11, 59, 521], [1, 1, 1, 1, -21])
([2, 5, 11, 59, 509], [1, 1, 1, 1, -22])
([2, 5, 11, 59, 503], [1, 1, 1, 1, -23])
([2, 5, 11, 59, 499], [1, 1, 1, 1, -24])
([2, 5, 11, 59, 491], [1, 1, 1, 1, -25])
([2, 5, 11, 59, 487], [1, 1, 1, 1, -26])
([2, 5, 11, 59, 479], [1, 1, 1, 1, -27])
([2, 5, 11, 59, 467], [1, 1, 1, 1, -28])
([2, 5, 11, 59, 463], [1, 1, 1, 1, -29])
([2, 5, 11, 59, 461], [1, 1, 1, 1, -30])
([2, 5, 11, 59, 457], [1, 1, 1, 1, -31])
([2, 5, 11, 59, 449], [1, 1, 1, 1, -32])
([2, 5, 11, 59, 443], [1, 1, 1, 1, -33])
([2, 5, 11, 59, 439], [1, 1, 1, 1, -34])
([2, 5, 11, 59, 433], [1, 1, 1, 1, -35])
([2, 5, 11, 59, 431], [1, 1, 1, 1, -36])
([2, 5, 11, 59, 421], [1, 1, 1, 1, -37])
([2, 5, 11, 59, 419], [1, 1, 1, 1, -38])
([2, 5, 11, 59, 409], [1, 1, 1, 1, -39])
([2, 5, 11, 59, 401], [1, 1, 1, 1, -40])
([2, 5, 11, 59, 397], [1, 1, 1, 1, -41])
([2, 5, 11, 59, 389], [1, 1, 1, 1, -42])
([2, 5, 11, 59, 383], [1, 1, 1, 1, -43])
([2, 5, 11, 59, 379], [1, 1, 1, 1, -44])
([2, 5, 11, 59, 373], [1, 1, 1, 1, -45])
([2, 5, 11, 59, 367], [1, 1, 1, 1, -46])
([2, 5, 11, 59, 359], [1, 1, 1, 1, -47])
([2, 5, 11, 59, 353], [1, 1, 1, 1, -48])
([2, 5, 11, 59, 349], [1, 1, 1, 1, -49])
([2, 5, 11, 59, 347], [1, 1, 1, 1, -50])
([2, 5, 11, 59, 337], [1, 1, 1, 1, -51])
([2, 5, 11, 59, 331], [1, 1, 1, 1, -52])
([2, 5, 11, 59, 317], [1, 1, 1, 1, -53])
([2, 5, 11, 59, 313], [1, 1, 1, 1, -54])
([2, 5, 11, 59, 311], [1, 1, 1, 1, -55])
([2, 5, 11, 59, 307], [1, 1, 1, 1, -56])
([2, 5, 11, 59, 293], [1, 1, 1, 1, -57])
([2, 5, 11, 59, 283], [1, 1, 1, 1, -58])
([2, 5, 11, 59, 281], [1, 1, 1, 1, -59])
([2, 5, 11, 59, 277], [1, 1, 1, 1, -60])
([2, 5, 11, 59, 271], [1, 1, 1, 1, -61])
([2, 5, 11, 59, 269], [1, 1, 1, 1, -62])
([2, 5, 11, 59, 263], [1, 1, 1, 1, -63])
([2, 5, 11, 59, 257], [1, 1, 1, 1, -64])
([2, 5, 11, 59, 251], [1, 1, 1, 1, -65])
([2, 5, 11, 59, 241], [1, 1, 1, 1, -66])
([2, 5, 11, 59, 239], [1, 1, 1, 1, -67])
([2, 5, 11, 59, 233], [1, 1, 1, 1, -68])
([2, 5, 11, 59, 229], [1, 1, 1, 1, -69])
([2, 5, 11, 59, 227], [1, 1, 1, 1, -70])
([2, 5, 11, 59, 223], [1, 1, 1, 1, -71])
([2, 5, 11, 59, 211], [1, 1, 1, 1, -72])
([2, 5, 11, 59, 199], [1, 1, 1, 1, -73])
([2, 5, 11, 59, 197], [1, 1, 1, 1, -74])
([2, 5, 11, 59, 193], [1, 1, 1, 1, -75])
([2, 5, 11, 59, 191], [1, 1, 1, 1, -76])
([2, 5, 11, 59, 181], [1, 1, 1, 1, -77])
([2, 5, 11, 59, 179], [1, 1, 1, 1, -78])
([2, 5, 11, 59, 173], [1, 1, 1, 1, -79])
([2, 5, 11, 59, 167], [1, 1, 1, 1, -80])
([2, 5, 11, 59, 163], [1, 1, 1, 1, -81])
([2, 5, 11, 59, 157], [1, 1, 1, 1, -82])
([2, 5, 11, 59, 151], [1, 1, 1, 1, -83])
([2, 5, 11, 59, 149], [1, 1, 1, 1, -84])
([2, 5, 11, 59, 139], [1, 1, 1, 1, -85])
([2, 5, 11, 59, 137], [1, 1, 1, 1, -86])
([2, 5, 11, 59, 131], [1, 1, 1, 1, -87])
([2, 5, 11, 59, 127], [1, 1, 1, 1, -88])
([2, 5, 11, 59, 113], [1, 1, 1, 1, -89])
([2, 5, 11, 59, 109], [1, 1, 1, 1, -90])
([2, 5, 11, 59, 107], [1, 1, 1, 1, -91])
([2, 5, 11, 59, 103], [1, 1, 1, 1, -92])
([2, 5, 11, 59, 101], [1, 1, 1, 1, -93])
([2, 5, 11, 59, 97], [1, 1, 1, 1, -94])
([2, 5, 11, 59, 89], [1, 1, 1, 1, -95])
([2, 5, 11, 59, 83], [1, 1, 1, 1, -96])
([2, 5, 11, 59, 79], [1, 1, 1, 1, -97])
([2, 5, 11, 59, 73], [1, 1, 1, 1, -98])
([2, 5, 11, 59, 71], [1, 1, 1, 1, -99])
([2, 5, 11, 59, 67], [1, 1, 1, 1, -100])
([2, 5, 11, 59, 61], [1, 1, 1, 1, -101])
([2, 5, 11, 61, 467], [1, 1, 1, 2, -1])
([2, 5, 11, 61, 463], [1, 1, 1, 2, -2])
([2, 5, 11, 61, 461], [1, 1, 1, 2, -3])
([2, 5, 11, 61, 457], [1, 1, 1, 2, -4])
([2, 5, 11, 61, 449], [1, 1, 1, 2, -5])
([2, 5, 11, 61, 443], [1, 1, 1, 2, -6])
([2, 5, 11, 61, 439], [1, 1, 1, 2, -7])
([2, 5, 11, 61, 433], [1, 1, 1, 2, -8])
([2, 5, 11, 61, 431], [1, 1, 1, 2, -9])
([2, 5, 11, 61, 421], [1, 1, 1, 2, -10])
([2, 5, 11, 61, 419], [1, 1, 1, 2, -11])
([2, 5, 11, 61, 409], [1, 1, 1, 2, -12])
([2, 5, 11, 61, 401], [1, 1, 1, 2, -13])
([2, 5, 11, 61, 397], [1, 1, 1, 2, -14])
([2, 5, 11, 61, 389], [1, 1, 1, 2, -15])
([2, 5, 11, 61, 383], [1, 1, 1, 2, -16])
([2, 5, 11, 61, 379], [1, 1, 1, 2, -17])
([2, 5, 11, 61, 373], [1, 1, 1, 2, -18])
([2, 5, 11, 61, 367], [1, 1, 1, 2, -19])
([2, 5, 11, 61, 359], [1, 1, 1, 2, -20])
([2, 5, 11, 61, 353], [1, 1, 1, 2, -21])
([2, 5, 11, 61, 349], [1, 1, 1, 2, -22])
([2, 5, 11, 61, 347], [1, 1, 1, 2, -23])
([2, 5, 11, 61, 337], [1, 1, 1, 2, -24])
([2, 5, 11, 61, 331], [1, 1, 1, 2, -25])
([2, 5, 11, 61, 317], [1, 1, 1, 2, -26])
([2, 5, 11, 61, 313], [1, 1, 1, 2, -27])
([2, 5, 11, 61, 311], [1, 1, 1, 2, -28])
([2, 5, 11, 61, 307], [1, 1, 1, 2, -29])
([2, 5, 11, 61, 293], [1, 1, 1, 2, -30])
([2, 5, 11, 61, 283], [1, 1, 1, 2, -31])
([2, 5, 11, 61, 281], [1, 1, 1, 2, -32])
([2, 5, 11, 61, 277], [1, 1, 1, 2, -33])
([2, 5, 11, 61, 271], [1, 1, 1, 2, -34])
([2, 5, 11, 61, 269], [1, 1, 1, 2, -35])
([2, 5, 11, 61, 263], [1, 1, 1, 2, -36])
([2, 5, 11, 61, 257], [1, 1, 1, 2, -37])
([2, 5, 11, 61, 251], [1, 1, 1, 2, -38])
([2, 5, 11, 61, 241], [1, 1, 1, 2, -39])
([2, 5, 11, 61, 239], [1, 1, 1, 2, -40])
([2, 5, 11, 61, 233], [1, 1, 1, 2, -41])
([2, 5, 11, 61, 229], [1, 1, 1, 2, -42])
([2, 5, 11, 61, 227], [1, 1, 1, 2, -43])
([2, 5, 11, 61, 223], [1, 1, 1, 2, -44])
([2, 5, 11, 61, 211], [1, 1, 1, 2, -45])
([2, 5, 11, 61, 199], [1, 1, 1, 2, -46])
([2, 5, 11, 61, 197], [1, 1, 1, 2, -47])
([2, 5, 11, 61, 193], [1, 1, 1, 2, -48])
([2, 5, 11, 61, 191], [1, 1, 1, 2, -49])
([2, 5, 11, 61, 181], [1, 1, 1, 2, -50])
([2, 5, 11, 61, 179], [1, 1, 1, 2, -51])
([2, 5, 11, 61, 173], [1, 1, 1, 2, -52])
([2, 5, 11, 61, 167], [1, 1, 1, 2, -53])
([2, 5, 11, 61, 163], [1, 1, 1, 2, -54])
([2, 5, 11, 61, 157], [1, 1, 1, 2, -55])
([2, 5, 11, 61, 151], [1, 1, 1, 2, -56])
([2, 5, 11, 61, 149], [1, 1, 1, 2, -57])
([2, 5, 11, 61, 139], [1, 1, 1, 2, -58])
([2, 5, 11, 61, 137], [1, 1, 1, 2, -59])
([2, 5, 11, 61, 131], [1, 1, 1, 2, -60])
([2, 5, 11, 61, 127], [1, 1, 1, 2, -61])
([2, 5, 11, 61, 113], [1, 1, 1, 2, -62])
([2, 5, 11, 61, 109], [1, 1, 1, 2, -63])
([2, 5, 11, 61, 107], [1, 1, 1, 2, -64])
([2, 5, 11, 61, 103], [1, 1, 1, 2, -65])
([2, 5, 11, 61, 101], [1, 1, 1, 2, -66])
([2, 5, 11, 61, 97], [1, 1, 1, 2, -67])
([2, 5, 11, 61, 89], [1, 1, 1, 2, -68])
([2, 5, 11, 61, 83], [1, 1, 1, 2, -69])
([2, 5, 11, 61, 79], [1, 1, 1, 2, -70])
([2, 5, 11, 61, 73], [1, 1, 1, 2, -71])
([2, 5, 11, 61, 71], [1, 1, 1, 2, -72])
([2, 5, 11, 61, 67], [1, 1, 1, 2, -73])
([2, 5, 11, 67, 281], [1, 1, 1, 3, -1])
([2, 5, 11, 67, 277], [1, 1, 1, 3, -2])
([2, 5, 11, 67, 271], [1, 1, 1, 3, -3])
([2, 5, 11, 67, 269], [1, 1, 1, 3, -4])
([2, 5, 11, 67, 263], [1, 1, 1, 3, -5])
([2, 5, 11, 67, 257], [1, 1, 1, 3, -6])
([2, 5, 11, 67, 251], [1, 1, 1, 3, -7])
([2, 5, 11, 67, 241], [1, 1, 1, 3, -8])
([2, 5, 11, 67, 239], [1, 1, 1, 3, -9])
([2, 5, 11, 67, 233], [1, 1, 1, 3, -10])
([2, 5, 11, 67, 229], [1, 1, 1, 3, -11])
([2, 5, 11, 67, 227], [1, 1, 1, 3, -12])
([2, 5, 11, 67, 223], [1, 1, 1, 3, -13])
([2, 5, 11, 67, 211], [1, 1, 1, 3, -14])
([2, 5, 11, 67, 199], [1, 1, 1, 3, -15])
([2, 5, 11, 67, 197], [1, 1, 1, 3, -16])
([2, 5, 11, 67, 193], [1, 1, 1, 3, -17])
([2, 5, 11, 67, 191], [1, 1, 1, 3, -18])
([2, 5, 11, 67, 181], [1, 1, 1, 3, -19])
([2, 5, 11, 67, 179], [1, 1, 1, 3, -20])
([2, 5, 11, 67, 173], [1, 1, 1, 3, -21])
([2, 5, 11, 67, 167], [1, 1, 1, 3, -22])
([2, 5, 11, 67, 163], [1, 1, 1, 3, -23])
([2, 5, 11, 67, 157], [1, 1, 1, 3, -24])
([2, 5, 11, 67, 151], [1, 1, 1, 3, -25])
([2, 5, 11, 67, 149], [1, 1, 1, 3, -26])
([2, 5, 11, 67, 139], [1, 1, 1, 3, -27])
([2, 5, 11, 67, 137], [1, 1, 1, 3, -28])
