sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 34127] 17974
[3, 5, 7, 11, 389, 34129] 17966
[3, 5, 7, 11, 389, 34141] 17905
[3, 5, 7, 11, 389, 34147] 17883
[3, 5, 7, 11, 389, 34157] 17841
[3, 5, 7, 11, 389, 34159] 17833
[3, 5, 7, 11, 389, 34171] 17784
[3, 5, 7, 11, 389, 34183] 17739
[3, 5, 7, 11, 389, 34211] 17615
[3, 5, 7, 11, 389, 34213] 17606
[3, 5, 7, 11, 389, 34217] 17592
[3, 5, 7, 11, 389, 34231] 17534
[3, 5, 7, 11, 389, 34253] 17448
[3, 5, 7, 11, 389, 34259] 17422
[3, 5, 7, 11, 389, 34261] 17409
[3, 5, 7, 11, 389, 34267] 17383
[3, 5, 7, 11, 389, 34273] 17361
[3, 5, 7, 11, 389, 34283] 17328
[3, 5, 7, 11, 389, 34297] 17273
[3, 5, 7, 11, 389, 34301] 17258
[3, 5, 7, 11, 389, 34303] 17251
[3, 5, 7, 11, 389, 34313] 17216
[3, 5, 7, 11, 389, 34319] 17193
[3, 5, 7, 11, 389, 34327] 17168
[3, 5, 7, 11, 389, 34337] 17124
[3, 5, 7, 11, 389, 34351] 17066
[3, 5, 7, 11, 389, 34361] 17036
[3, 5, 7, 11, 389, 34367] 17010
[3, 5, 7, 11, 389, 34369] 17002
[3, 5, 7, 11, 389, 34381] 16963
[3, 5, 7, 11, 389, 34403] 16885
[3, 5, 7, 11, 389, 34421] 16819
[3, 5, 7, 11, 389, 34429] 16791
[3, 5, 7, 11, 389, 34439] 16749
[3, 5, 7, 11, 389, 34457] 16674
[3, 5, 7, 11, 389, 34469] 16627
[3, 5, 7, 11, 389, 34471] 16619
[3, 5, 7, 11, 389, 34483] 16574
[3, 5, 7, 11, 389, 34487] 16564
[3, 5, 7, 11, 389, 34499] 16517
[3, 5, 7, 11, 389, 34501] 16507
[3, 5, 7, 11, 389, 34511] 16473
[3, 5, 7, 11, 389, 34513] 16467
[3, 5, 7, 11, 389, 34519] 16444
[3, 5, 7, 11, 389, 34537] 16384
[3, 5, 7, 11, 389, 34543] 16361
[3, 5, 7, 11, 389, 34549] 16336
[3, 5, 7, 11, 389, 34583] 16222
[3, 5, 7, 11, 389, 34589] 16202
[3, 5, 7, 11, 389, 34591] 16196
[3, 5, 7, 11, 389, 34603] 16147
[3, 5, 7, 11, 389, 34607] 16134
[3, 5, 7, 11, 389, 34613] 16116
[3, 5, 7, 11, 389, 34631] 16052
[3, 5, 7, 11, 389, 34649] 15995
[3, 5, 7, 11, 389, 34651] 15983
[3, 5, 7, 11, 389, 34667] 15931
[3, 5, 7, 11, 389, 34673] 15915
[3, 5, 7, 11, 389, 34679] 15885
[3, 5, 7, 11, 389, 34687] 15855
[3, 5, 7, 11, 389, 34693] 15837
[3, 5, 7, 11, 389, 34703] 15801
[3, 5, 7, 11, 389, 34721] 15739
[3, 5, 7, 11, 389, 34729] 15719
[3, 5, 7, 11, 389, 34739] 15685
[3, 5, 7, 11, 389, 34747] 15656
[3, 5, 7, 11, 389, 34757] 15624
[3, 5, 7, 11, 389, 34759] 15616
[3, 5, 7, 11, 389, 34763] 15605
[3, 5, 7, 11, 389, 34781] 15550
[3, 5, 7, 11, 389, 34807] 15476
[3, 5, 7, 11, 389, 34819] 15436
[3, 5, 7, 11, 389, 34841] 15367
[3, 5, 7, 11, 389, 34843] 15361
[3, 5, 7, 11, 389, 34847] 15347
[3, 5, 7, 11, 389, 34849] 15338
[3, 5, 7, 11, 389, 34871] 15276
[3, 5, 7, 11, 389, 34877] 15259
